test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,128,8388608,3,2,0,0,0,0,0,903.065073,22274878080.000000,0,919.259941
ofs-update,0,1,0,1,128,8388608,3,2,16,0.695024,13097920.000000,0.570299,7480640.000000,0,0,16.000000,919.259941
ofs-update,0,1,0,1,128,8388608,3,2,128,0.932593,19002720.000000,0.543657,7509440.000000,0,0,128.000000,919.259941
ofs-update,0,1,0,1,128,8388608,3,2,1024,4.160527,1144177760.000000,2.454931,572929600.000000,0,0,1024.000000,919.259941
ofs-update,0,1,0,1,128,8388608,3,2,4096,4.252328,1144169600.000000,2.314985,572900320.000000,0,0,4096.000000,919.259941
ofs-update,0,1,0,1,128,32,3,2,0,0,0,0,0,0.011292,14880.000000,0,0.028440
ofs-update,0,1,0,1,128,32,3,2,16,0.006969,33280.000000,0.008316,31520.000000,0,0,16.000000,0.028440
ofs-update,0,1,0,1,128,256,3,2,0,0,0,0,0,0.041402,425808.000000,0,0.146648
ofs-update,0,1,0,1,128,256,3,2,16,0.025572,183712.000000,0.026208,143936.000000,0,0,16.000000,0.146648
ofs-update,0,1,0,1,128,256,3,2,128,0.024574,179392.000000,0.026546,184672.000000,0,0,128.000000,0.146648
ofs-update,0,1,0,1,32,2048,3,2,0,0,0,0,0,0.201956,1753680.000000,0,0.719710
ofs-update,0,1,0,1,32,2048,3,2,16,0.136178,892704.000000,0.165089,792512.000000,0,0,16.000000,0.719710
ofs-update,0,1,0,1,32,2048,3,2,128,0.051184,438592.000000,0.050574,346016.000000,0,0,128.000000,0.719710
ofs-update,0,1,0,1,32,2048,3,2,1024,0.052382,454912.000000,0.059461,457312.000000,0,0,1024.000000,0.719710
ofs-update,0,1,0,1,32,16384,3,2,0,0,0,0,0,1.330420,13576272.000000,0,2.437002
ofs-update,0,1,0,1,32,16384,3,2,16,0.353068,2001120.000000,0.181565,1032160.000000,0,0,16.000000,2.437002
ofs-update,0,1,0,1,32,16384,3,2,128,0.096413,2067328.000000,0.087396,1264064.000000,0,0,128.000000,2.437002
ofs-update,0,1,0,1,32,16384,3,2,1024,0.094956,2055808.000000,0.101333,2053888.000000,0,0,1024.000000,2.437002
ofs-update,0,1,0,1,32,16384,3,2,4096,0.095399,2061088.000000,0.092616,2042368.000000,0,0,4096.000000,2.437002
ofs-update,0,1,0,1,32,131072,3,2,0,0,0,0,0,9.867870,106746960.000000,0,11.700290
ofs-update,0,1,0,1,32,131072,3,2,16,0.363570,2512128.000000,0.265364,1734624.000000,0,0,16.000000,11.700290
ofs-update,0,1,0,1,32,131072,3,2,128,0.199013,13357696.000000,0.189887,7056608.000000,0,0,128.000000,11.700290
ofs-update,0,1,0,1,32,131072,3,2,1024,0.196422,13363456.000000,0.195351,13359136.000000,0,0,1024.000000,11.700290
ofs-update,0,1,0,1,32,131072,3,2,4096,0.202961,13347616.000000,0.210801,13354816.000000,0,0,4096.000000,11.700290
ofs-update,0,1,0,1,32,1048576,3,2,0,0,0,0,0,71.969849,1179423360.000000,0,76.052621
ofs-update,0,1,0,1,32,1048576,3,2,16,0.483646,4155136.000000,0.375155,2761088.000000,0,0,16.000000,76.052621
ofs-update,0,1,0,1,32,1048576,3,2,128,0.656728,41267520.000000,0.549841,4378336.000000,0,0,128.000000,76.052621
ofs-update,0,1,0,1,32,1048576,3,2,1024,0.596485,75807808.000000,0.396832,38477024.000000,0,0,1024.000000,76.052621
ofs-update,0,1,0,1,32,1048576,3,2,4096,0.591237,75797248.000000,0.386974,38490944.000000,0,0,4096.000000,76.052621
ofs-update,0,1,0,1,32,8388608,3,2,0,0,0,0,0,694.243755,9415240320.000000,0,702.785126
ofs-update,0,1,0,1,32,8388608,3,2,16,0.716589,6796864.000000,0.709496,4362752.000000,0,0,16.000000,702.785126
ofs-update,0,1,0,1,32,8388608,3,2,128,0.933254,9527616.000000,0.547869,4374272.000000,0,0,128.000000,702.785126
ofs-update,0,1,0,1,32,8388608,3,2,1024,1.596859,338839712.000000,0.973143,170257216.000000,0,0,1024.000000,702.785126
ofs-update,0,1,0,1,32,8388608,3,2,4096,1.779904,338855072.000000,1.000393,170256256.000000,0,0,4096.000000,702.785126
ofs-update,0,1,0,1,32,32,3,2,0,0,0,0,0,0.013463,14880.000000,0,0.032614
ofs-update,0,1,0,1,32,32,3,2,16,0.007937,26176.000000,0.009314,26528.000000,0,0,16.000000,0.032614
ofs-update,0,1,0,1,32,256,3,2,0,0,0,0,0,0.026770,122400.000000,0,0.128766
ofs-update,0,1,0,1,32,256,3,2,16,0.024345,129280.000000,0.025702,121760.000000,0,0,16.000000,0.128766
ofs-update,0,1,0,1,32,256,3,2,128,0.026162,134080.000000,0.024056,126880.000000,0,0,128.000000,0.128766
ofs-update,0,1,0,1,4096,2048,3,2,0,0,0,0,0,0.500826,68078160.000000,0,1.490412
ofs-update,0,1,0,1,4096,2048,3,2,16,0.251267,25879680.000000,0.182204,9125664.000000,0,0,16.000000,1.490412
ofs-update,0,1,0,1,4096,2048,3,2,128,0.144754,17104416.000000,0.114031,8678208.000000,0,0,128.000000,1.490412
ofs-update,0,1,0,1,4096,2048,3,2,1024,0.150820,17094336.000000,0.143471,17101056.000000,0,0,1024.000000,1.490412
ofs-update,0,1,0,1,4096,16384,3,2,0,0,0,0,0,3.585202,545732688.000000,0,8.826608
ofs-update,0,1,0,1,4096,16384,3,2,16,0.439587,33212640.000000,0.218883,11426880.000000,0,0,16.000000,8.826608
ofs-update,0,1,0,1,4096,16384,3,2,128,0.755768,135211520.000000,0.824076,67847200.000000,0,0,128.000000,8.826608
ofs-update,0,1,0,1,4096,16384,3,2,1024,0.735877,135222080.000000,0.746516,135230240.000000,0,0,1024.000000,8.826608
ofs-update,0,1,0,1,4096,16384,3,2,4096,0.762807,135222080.000000,0.753925,135224000.000000,0,0,4096.000000,8.826608
ofs-update,0,1,0,1,4096,131072,3,2,0,0,0,0,0,41.787316,8603264640.000000,0,72.442536
ofs-update,0,1,0,1,4096,131072,3,2,16,0.536074,52451040.000000,0.338600,26702400.000000,0,0,16.000000,72.442536
ofs-update,0,1,0,1,4096,131072,3,2,128,5.096095,1615383648.000000,2.868743,808071264.000000,0,0,128.000000,72.442536
ofs-update,0,1,0,1,4096,131072,3,2,1024,5.195887,1615368288.000000,2.881756,808091904.000000,0,0,1024.000000,72.442536
