test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
omap,0,0,0,1,64,1048576,21,1,512,5.47366,6.22445,6.48244,41.7646
ofs,0,0,0,1,64,33554432,6,8,1,0.109975,0.513779,39.6963,1879.35
ofs,0,0,0,1,64,33554432,6,8,2,0.260226,1.19974,43.8404,1879.35
ofs,0,0,0,1,64,33554432,6,8,4,0.53777,3.47497,83.0838,1879.35
ofs,0,0,0,1,64,33554432,6,8,8,1.68597,307.931,128.956,1879.35
ofs,0,0,0,1,64,33554432,6,8,16,0.141658,51.7164,25.1804,1879.35
ofs,0,0,0,1,64,33554432,6,8,32,0.244028,77.1722,37.6199,1879.35
ofs,0,0,0,1,64,33554432,6,8,64,0.466039,122.548,59.0315,1879.35
ofs,0,0,0,1,64,33554432,6,8,128,0.862241,205.028,92.1606,1879.35
ofs,0,0,0,1,64,33554432,6,8,256,0.142346,56.7598,38.7477,1879.35
ofs,0,0,0,1,64,33554432,6,8,512,0.138675,30.9844,27.3883,1879.35
omap,0,0,0,1,64,33554432,26,1,1,0.0151934,0.110652,72.1101,45727.2
omap,0,0,0,1,64,33554432,26,1,2,0.058348,0.0950225,161.23,45727.2
omap,0,0,0,1,64,33554432,26,1,4,0.132117,0.214709,303.83,45727.2
omap,0,0,0,1,64,33554432,26,1,8,0.248676,0.417375,568.697,45727.2
omap,0,0,0,1,64,33554432,26,1,16,0.395051,0.846666,1162.18,45727.2
omap,0,0,0,1,64,33554432,26,1,32,0.772116,1.75798,2111.01,45727.2
omap,0,0,0,1,64,33554432,26,1,64,1.45221,3.56795,3741.46,45727.2
omap,0,0,0,1,64,33554432,26,1,128,2.87527,22.0755,4848.03,45727.2
omap,0,0,0,1,64,33554432,26,1,256,5.40821,300.931,8997.81,45727.2
omap,0,0,0,1,64,33554432,26,1,512,12.8776,10345.1,13060.1,45727.2
